Asset Location,Asset IP Address,Asset Alternate IPv4 Addresses,Asset Names,Asset Risk Score,Asset OS Name,Vulnerability Title,Vulnerability PCI Compliance Status,Vulnerability CVSS Score,Vulnerability CVSSv3 Score,Vulnerability Description,Vulnerability ID,Service Port,Vulnerability Solution,Vulnerability Proof,Vulnerability Published Date,Vulnerable Since,Vulnerability Age,Vulnerability CVE IDs,Vulnerability CVE URLs
Des Moines,10.10.0.97,,l1pdavc02.eservices.coop.org,"3,440",Red Hat Enterprise Linux,SSH Weak Message Authentication Code Algorithms,Fail,4.0,0.0,The SSH server supports cryptographically weak Hash-based message authentication codes (HMACs) including MD5 or 96-bit Hash-based algorithms.,ssh-weak-message-authentication-code-algorithms,22,"Disable any MD5 or 96-bit HMAC algorithms within the SSH configuration

Consult the product documentation for instructions to disable any insecure MD5 or 96-bit HMAC algorithms within the SSH configuration.","* Running SSH service

 * Insecure MAC algorithms in use: hmac-sha1-etm@openssh.com,hmac-sha1",2014-01-06,2022-05-29,15 Days,,
Des Moines,10.10.0.97,,l1pdavc02.eservices.coop.org,"3,440",Red Hat Enterprise Linux,SSH CBC vulnerability,Pass,2.6,0.0,"SSH contains a vulnerability in the way certain types of errors are handled. Attacks leveraging this vulnerabilty would lead to the loss of the SSH session. According to CPNI Vulnerability Advisory SSH: 

 If exploited, this attack can potentially allow an attacker to recover up to 32 bits of plaintext from an arbitrary block of ciphertext from a connection secured using the SSH protocol in the standard configuration. If OpenSSH is used in the standard configuration, then the attacker's success probability for recovering 32 bits of plaintext is 2^{-18}. A variant of the attack against OpenSSH in the standard configuration can verifiably recover 14 bits of plaintext with probability 2^{-14}. The success probability of the attack for other implementations of SSH is not known.",ssh-cbc-ciphers,22,"Disable SSH support for CBC cipher suite


SSH can be done using Counter (CTR) mode encryption. This mode generates the keystream by encrypting successive values of a ""counter"" function. In order to mitigate this vulnerabilty SSH can be setup to use CTR mode rather CBC mode.","* Running SSH service

 * Insecure CBC ciphers in use: aes256-cbc,aes128-cbc",2013-02-08,2022-05-29,15 Days,,
Des Moines,10.10.0.97,,l1pdavc02.eservices.coop.org,"3,440",Red Hat Enterprise Linux,SSH Server Supports Weak Key Exchange Algorithms,Fail,4.3,0.0,The server supports one or more weak key exchange algorithms. It is highly adviseable to remove weak key exchange algorithm support from SSH configuration files on hosts to prevent them from being used to establish connections.,ssh-weak-kex-algorithms,22,"Disable weak Key Exchange Algorithms


Refer to  this guide (https://wiki.mozilla.org/Security/Guidelines/OpenSSH)  on what KEX algorithms to permit in your SSH configuration.","* Running SSH service

 * Insecure key exchange algorithms in use: diffie-hellman-group-exchange-sha1",2017-07-13,2022-05-29,15 Days,,
Des Moines,10.10.0.96,,l1pdavc01.eservices.coop.org,"29,029",Red Hat Enterprise Linux,SSH CBC vulnerability,Pass,2.6,0.0,"SSH contains a vulnerability in the way certain types of errors are handled. Attacks leveraging this vulnerabilty would lead to the loss of the SSH session. According to CPNI Vulnerability Advisory SSH: 

 If exploited, this attack can potentially allow an attacker to recover up to 32 bits of plaintext from an arbitrary block of ciphertext from a connection secured using the SSH protocol in the standard configuration. If OpenSSH is used in the standard configuration, then the attacker's success probability for recovering 32 bits of plaintext is 2^{-18}. A variant of the attack against OpenSSH in the standard configuration can verifiably recover 14 bits of plaintext with probability 2^{-14}. The success probability of the attack for other implementations of SSH is not known.",ssh-cbc-ciphers,22,"Disable SSH support for CBC cipher suite


SSH can be done using Counter (CTR) mode encryption. This mode generates the keystream by encrypting successive values of a ""counter"" function. In order to mitigate this vulnerabilty SSH can be setup to use CTR mode rather CBC mode.","* Running SSH service

 * Insecure CBC ciphers in use: aes256-cbc,aes128-cbc",2013-02-08,2022-05-01,43 Days,,
Des Moines,10.10.0.96,,l1pdavc01.eservices.coop.org,"29,029",Red Hat Enterprise Linux,SSH Weak Message Authentication Code Algorithms,Fail,4.0,0.0,The SSH server supports cryptographically weak Hash-based message authentication codes (HMACs) including MD5 or 96-bit Hash-based algorithms.,ssh-weak-message-authentication-code-algorithms,22,"Disable any MD5 or 96-bit HMAC algorithms within the SSH configuration

Consult the product documentation for instructions to disable any insecure MD5 or 96-bit HMAC algorithms within the SSH configuration.","* Running SSH service

 * Insecure MAC algorithms in use: hmac-sha1-etm@openssh.com,hmac-sha1",2014-01-06,2022-05-01,43 Days,,
Des Moines,10.10.0.96,,l1pdavc01.eservices.coop.org,"29,029",Red Hat Enterprise Linux,SSH Server Supports Weak Key Exchange Algorithms,Fail,4.3,0.0,The server supports one or more weak key exchange algorithms. It is highly adviseable to remove weak key exchange algorithm support from SSH configuration files on hosts to prevent them from being used to establish connections.,ssh-weak-kex-algorithms,22,"Disable weak Key Exchange Algorithms


Refer to  this guide (https://wiki.mozilla.org/Security/Guidelines/OpenSSH)  on what KEX algorithms to permit in your SSH configuration.","* Running SSH service

 * Insecure key exchange algorithms in use: diffie-hellman-group-exchange-sha1",2017-07-13,2022-05-01,43 Days,,
Des Moines,10.10.1.147,,"l1paavc01.eservices.coop.org,l1pwavc01.corp.coop.org.domaindnszones.corp.coop.org","3,584",Red Hat Enterprise Linux,Partition Mounting Weakness,Pass,1.9,0.0,"One or more of the system's partitions are mounted without certain hardening options enabled. While this is not a definite vulnerability on its own, system security may be improved by employing hardening techniques.",unix-partition-mounting-weakness,0,"Partition Mounting Weakness


The specific way to modify the partition mount options varies from system to system. Consult your operating system's manual or mount man page.",The following issues were discovered: /tmp partition does not have 'noexec' option set. /var/lib/nfs/rpc_pipefs partition does not have 'nodev' option set. /opt/app/avc/share/VISTA_ATMs partition does not have 'nodev' option set. /usr/local/tekchand.od/ftphome partition does not have 'nodev' option set. /opt/app/avc/share/OD-WEB partition does not have 'nodev' option set.,2005-01-15,2022-05-29,15 Days,,
Des Moines,10.10.0.96,,l1pdavc01.eservices.coop.org,"29,029",Red Hat Enterprise Linux,"Java CPU April 2020 Java SE, Java SE Embedded vulnerability (CVE-2020-2757)",Pass,4.3,3.7,"Vulnerability in the Java SE, Java SE Embedded product of Oracle Java SE (component: Serialization). Supported versions that are affected are Java SE: 7u251, 8u241, 11.0.6 and 14; Java SE Embedded: 8u241. Difficult to exploit vulnerability allows unauthenticated attacker with network access via multiple protocols to compromise Java SE, Java SE Embedded. Successful attacks of this vulnerability can result in unauthorized ability to cause a partial denial of service (partial DOS) of Java SE, Java SE Embedded. Note: Applies to client and server deployment of Java. This vulnerability can be exploited through sandboxed Java Web Start applications and sandboxed Java applets. It can also be exploited by supplying data to APIs in the specified Component without using sandboxed Java Web Start applications or sandboxed Java applets, such as through a web service. CVSS 3.0 Base Score 3.7 (Availability impacts). CVSS Vector: (CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:L).",jre-vuln-cve-2020-2757,0,"Upgrade to the latest version of Oracle Java

Download and apply the upgrade from:  https://www.java.com/en/download/manual.jsp","Vulnerable OS: Red Hat Enterprise Linux 8.6


Vulnerable software installed: Oracle JRE 1.8.0.201 (/home/oracle/opt/app/u01/app/oracle/product/19c-1.0-1/dbhome_1/jdk/jre/lib/rt.jar)",2020-04-16,2022-05-01,43 Days,CVE-2020-2757,http://nvd.nist.gov/vuln/detail/CVE-2020-2757
Des Moines,10.10.0.96,,l1pdavc01.eservices.coop.org,"29,029",Red Hat Enterprise Linux,"Java CPU April 2020 Java SE, Java SE Embedded vulnerability (CVE-2020-2754)",Pass,4.3,3.7,"Vulnerability in the Java SE, Java SE Embedded product of Oracle Java SE (component: Scripting). Supported versions that are affected are Java SE: 8u241, 11.0.6 and 14; Java SE Embedded: 8u241. Difficult to exploit vulnerability allows unauthenticated attacker with network access via multiple protocols to compromise Java SE, Java SE Embedded. Successful attacks of this vulnerability can result in unauthorized ability to cause a partial denial of service (partial DOS) of Java SE, Java SE Embedded. Note: Applies to client and server deployment of Java. This vulnerability can be exploited through sandboxed Java Web Start applications and sandboxed Java applets. It can also be exploited by supplying data to APIs in the specified Component without using sandboxed Java Web Start applications or sandboxed Java applets, such as through a web service. CVSS 3.0 Base Score 3.7 (Availability impacts). CVSS Vector: (CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:L).",jre-vuln-cve-2020-2754,0,"Upgrade to the latest version of Oracle Java

Download and apply the upgrade from:  https://www.java.com/en/download/manual.jsp","Vulnerable OS: Red Hat Enterprise Linux 8.6


Vulnerable software installed: Oracle JRE 1.8.0.201 (/home/oracle/opt/app/u01/app/oracle/product/19c-1.0-1/dbhome_1/jdk/jre/lib/rt.jar)",2020-04-16,2022-05-01,43 Days,CVE-2020-2754,http://nvd.nist.gov/vuln/detail/CVE-2020-2754
Des Moines,10.10.0.96,,l1pdavc01.eservices.coop.org,"29,029",Red Hat Enterprise Linux,"Java CPU April 2020 Java SE, Java SE Embedded vulnerability (CVE-2020-2755)",Pass,4.3,3.7,"Vulnerability in the Java SE, Java SE Embedded product of Oracle Java SE (component: Scripting). Supported versions that are affected are Java SE: 8u241, 11.0.6 and 14; Java SE Embedded: 8u241. Difficult to exploit vulnerability allows unauthenticated attacker with network access via multiple protocols to compromise Java SE, Java SE Embedded. Successful attacks of this vulnerability can result in unauthorized ability to cause a partial denial of service (partial DOS) of Java SE, Java SE Embedded. Note: Applies to client and server deployment of Java. This vulnerability can be exploited through sandboxed Java Web Start applications and sandboxed Java applets. It can also be exploited by supplying data to APIs in the specified Component without using sandboxed Java Web Start applications or sandboxed Java applets, such as through a web service. CVSS 3.0 Base Score 3.7 (Availability impacts). CVSS Vector: (CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:L).",jre-vuln-cve-2020-2755,0,"Upgrade to the latest version of Oracle Java

Download and apply the upgrade from:  https://www.java.com/en/download/manual.jsp","Vulnerable OS: Red Hat Enterprise Linux 8.6


Vulnerable software installed: Oracle JRE 1.8.0.201 (/home/oracle/opt/app/u01/app/oracle/product/19c-1.0-1/dbhome_1/jdk/jre/lib/rt.jar)",2020-04-16,2022-05-01,43 Days,CVE-2020-2755,http://nvd.nist.gov/vuln/detail/CVE-2020-2755
